Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,16.8,1,0.2,0,0,45.4,2.5,0.8,0.1,0.1,60.4,3.9,1.3,0.3,0.1,69.3,5.1,1.8,0.5,0.3,67.5,5.3,1.7,0.5,0.3,73.1,4.8,1.5,0.3,0.3,67.1,3.3,1,0.2,0.1,58.8,2.1,0.7,0.1,0,11,0.6,0.1,0,0
2 years coverage,0,17.1,16.3,8.1,0.6,45.5,44.4,43.5,20.2,1.6,60.5,61,57.3,26.9,2.9,69.5,70.1,66.7,31.1,3.9,68.3,69,65.5,32.8,4.1,73.4,74.8,70.8,36.7,3.6,67.2,68.7,67.2,33.6,2.8,58.9,57.8,57.1,26.2,1.4,11.3,11,10.9,4.4,0.3
3 years coverage,0,0,16.3,17.8,7.5,45.6,44.4,43.5,42.5,20.2,60.9,61.2,57.3,57.8,27.1,70,70.2,66.7,67.5,34,68.9,69.2,65.5,65.8,33.2,73.9,75,70.9,71.8,37.2,67.8,68.8,67.2,67.8,31.7,59.3,58,57.2,56.2,26,12,11.3,10.9,10.6,4.4
4 years coverage,0,0,0,17.8,15.2,49.2,44.5,43.6,42.5,41.3,67.6,61.5,57.4,57.8,56.8,76.6,70.6,66.9,67.5,66.4,78.8,69.7,65.7,65.8,64.8,80.9,75.3,71.1,71.8,69.4,75.9,69.2,67.4,67.8,64.4,68.3,58.4,57.3,56.3,53.8,37.3,12,11.2,10.6,8.6
5 years coverage,0,0,0,0,15.2,52.2,47.4,43.7,42.6,41.3,72.7,67.2,57.8,57.9,56.8,81.9,77.4,67.3,67.6,66.4,84.3,79.9,66.3,66,64.8,85.8,82,71.6,71.9,69.4,82.4,77.7,67.8,67.9,64.5,77.5,67.2,57.6,56.4,53.8,56.5,33,11.8,10.7,8.6
6 years coverage,0,0,0,0,0,52.2,51.4,49.4,43.4,41.5,72.7,72.1,64.4,59.4,57.1,82,82.4,75.5,69.7,66.8,84.4,85.5,75.2,68.3,65.4,85.9,87.2,79.2,73.9,69.9,82.5,84.5,77.5,70.1,64.9,77.6,77.2,68.4,58.3,54.1,56.7,52.3,29.6,13.4,8.8
7 years coverage,0,0,0,0,0,0,51.4,52.4,48.7,41.7,72.8,72.2,68.9,65.7,57.5,82.1,82.4,81.1,76.7,67.3,84.4,85.5,83.3,75.8,66,86,87.2,84.6,80.4,70.4,82.6,84.5,83.8,79.2,65.6,77.7,77.3,74.6,67.9,54.7,56.8,52.5,44.7,28,9.2
8 years coverage,0,0,0,0,0,0,0,52.4,52.9,42,72.8,72.2,68.9,69.1,57.9,82.1,82.4,81.2,80.2,67.6,84.4,85.5,83.4,81.7,66.3,86,87.3,84.6,83.5,70.7,82.6,84.5,83.9,83.4,66,77.8,77.3,74.6,71.9,55,56.9,52.7,44.7,36.9,10.3
9 years coverage,0,0,0,0,0,0,0,0,52.9,42,72.8,72.2,68.9,69.1,57.9,82.1,82.4,81.2,80.2,67.6,84.4,85.5,83.4,81.7,66.3,86,87.3,84.6,83.5,70.7,82.6,84.5,83.9,83.4,66,77.8,77.3,74.6,71.9,55,56.9,52.7,44.7,36.9,10.3
