Age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1 year coverage,12.7,2.1,0.8,0.1,0.1,48.5,4.1,2,0.2,0.2,54.2,4,2.3,0.3,0.3,60.3,3.8,2.9,0.4,0.4,63.4,4,3.2,0.5,0.4,67.4,3.9,3.1,0.4,0.4,70.2,3.4,2.2,0.2,0.2,72.5,2.5,1.4,0.1,0.2,8.2,1.1,0.3,0.1,0
2 years coverage,0,16.2,13.8,10.9,1.2,48.7,54.5,52,28.1,2.4,54.5,59.5,57.8,32.5,3,60.6,65.4,64.2,37.2,3.4,63.8,68.9,68,38.8,3.9,67.8,73.4,71.9,38.9,3.9,70.5,74.9,74.4,34.8,2.9,72.7,76.8,75.5,38.7,2.1,9,10.7,10.7,4,0.5
3 years coverage,0,0,13.8,14.4,7.4,49.2,54.6,52,54.3,26.3,55.2,59.8,57.8,60.7,30.1,61.5,65.7,64.3,66.2,33.8,64.7,69.2,68,69.6,32.6,68.7,73.6,72,74.4,33.6,71.2,75,74.4,76.3,32,73,76.8,75.5,77.6,31.6,10,11.2,10.8,10.9,4.6
4 years coverage,0,0,0,14.4,14.3,51.8,54.8,52.1,54.4,54.2,63.6,60.3,58,60.7,59.8,69.2,66.2,64.5,66.3,66.5,72.6,69.8,68.3,69.6,70.5,75.6,74,72.2,74.5,74.3,77.8,75.4,74.6,76.3,76.8,78.9,77.2,75.6,77.6,79,40.1,12.2,11.3,11,11.3
5 years coverage,0,0,0,0,14.3,54.4,56.8,52.5,54.5,54.2,71.4,67.8,58.6,60.9,59.8,76.5,73.9,65,66.5,66.6,79.4,76.5,68.7,69.9,70.6,82.3,79.8,72.6,74.7,74.3,84,81.7,74.9,76.4,76.8,85.2,82.4,75.9,77.7,79,73.3,46.7,12.5,11.7,11.4
6 years coverage,0,0,0,0,0,54.4,58.7,55.3,54.8,54.3,71.4,74.3,65.7,61.5,59.9,76.5,80.3,71.8,67.1,66.7,79.4,82,74.9,70.4,70.8,82.3,84.9,78.5,75.2,74.5,84.1,86,80.6,76.7,77,85.2,87.3,81.2,78.1,79.1,73.3,78.6,42.2,12.8,11.8
7 years coverage,0,0,0,0,0,0,58.7,58.5,57.2,54.5,71.4,74.3,74.1,67.9,60.4,76.5,80.3,79.2,73.5,67.2,79.5,82,81.8,76.7,71.3,82.4,84.9,84.8,80.7,74.8,84.1,86.1,86.4,82,77.4,85.3,87.3,88.1,82.7,79.3,73.4,78.6,79.4,45,12.7
8 years coverage,0,0,0,0,0,0,0,58.5,60.2,57.3,71.5,74.3,74.2,76.6,67.3,76.8,80.4,79.2,80.6,74.1,79.8,82.1,81.9,83.6,77.5,82.6,85,84.8,86,80.1,84.3,86.1,86.4,87.8,82.4,85.4,87.3,88.1,88.9,84.3,73.7,78.7,79.4,79.4,40.8
9 years coverage,0,0,0,0,0,0,0,0,60.2,60.2,73.1,74.5,74.2,76.6,74.3,80.2,80.5,79.2,80.6,80.2,83.1,82.2,81.9,83.6,83.2,85.7,85.2,84.9,86,85.6,87,86.3,86.5,87.9,87.8,88.2,87.5,88.1,88.9,89.4,79,79,79.5,79.4,73.2
10 years coverage,0,0,0,0,0,0,0,0,0,60.2,74.8,75.5,74.3,76.6,74.3,83.6,83.1,79.4,80.6,80.2,86.2,84.7,82.1,83.7,83.2,88.5,87.5,85.1,86.1,85.6,89.6,88.5,86.6,87.9,87.8,91.4,90,88.3,89,89.4,85.1,84.1,79.8,79.5,73.2
